condition,seed,avg_buyer_value,avg_seller_cost,mean_price,liquidity,total_welfare,buyer_surplus,seller_surplus,price_dispersion
baseline,42,115.0,85.0,100.59,1.0,24.95,14.17,10.79,19.29
demand_shock,42,135.0,85.0,106.81,1.0,44.95,27.96,16.99,23.57
supply_shock,42,115.0,105.0,112.96,0.25,24.58,2.07,22.51,0
