tick,num_sessions,deals_made,liquidity,mean_price,price_std,buyer_surplus_mean,seller_surplus_mean
0,10,7,0.7,83.68,14.54,46.92,14.95
1,10,8,0.8,97.29,17.53,30.16,42.16
2,10,9,0.9,91.61,15.53,29.71,28.2
3,10,9,0.9,95.9,14.92,37.81,38.76
4,10,7,0.7,91.01,12.8,30.25,35.36
5,10,8,0.8,92.16,5.51,35.03,32.95
6,10,9,0.9,91.18,15.86,27.03,34.11
7,10,8,0.8,92.55,10.73,29.13,36.45
8,10,8,0.8,83.38,14.81,23.47,30.85
9,10,8,0.8,84.5,16.51,25.29,22.98
