time_step,item_id,item_name,buyer_id,seller_id,deal_made,deal_price,termination_reason,rounds_taken,buyer_value,seller_cost,buyer_surplus,seller_surplus
0,item_001,Gadget B,buyer_t0_006,seller_t0_006,True,90.0,accepted,6,95.83,85.53,5.829999999999998,4.469999999999999
0,item_000,Widget A,buyer_t0_003,seller_t0_003,True,139.0,accepted,10,164.72,83.72,25.72,55.28
0,item_001,Gadget B,buyer_t0_001,seller_t0_000,True,123.0,accepted,9,145.39,77.92,22.389999999999986,45.08
0,item_002,Doohickey C,buyer_t0_002,seller_t0_002,True,87.0,accepted,5,113.37,75.7,26.370000000000005,11.299999999999997
0,item_001,Gadget B,buyer_t0_005,seller_t0_008,True,140.0,accepted,9,166.95,46.24,26.94999999999999,93.75999999999999
0,item_004,Gizmo E,buyer_t0_007,seller_t0_004,True,90.5,accepted,10,92.09,76.03,1.5900000000000034,14.469999999999999
0,item_002,Doohickey C,buyer_t0_000,seller_t0_007,True,96.0,accepted,5,130.04,87.17,34.03999999999999,8.829999999999998
0,item_004,Gizmo E,buyer_t0_009,seller_t0_005,False,,rejected,5,137.8,65.99,0.0,0.0
0,item_000,Widget A,buyer_t0_008,seller_t0_001,True,97.0,accepted,5,117.57,71.31,20.569999999999993,25.689999999999998
0,item_002,Doohickey C,buyer_t0_004,seller_t0_009,True,138.0,accepted,7,159.16,43.56,21.159999999999997,94.44
1,item_001,Gadget B,buyer_t1_009,seller_t1_001,True,85.0,accepted,6,92.27,52.95,7.269999999999996,32.05
1,item_003,Thingamajig D,buyer_t1_006,seller_t1_006,True,150.0,accepted,9,162.53,79.41,12.530000000000001,70.59
1,item_000,Widget A,buyer_t1_002,seller_t1_002,True,97.5,accepted,6,140.11,69.01,42.610000000000014,28.489999999999995
1,item_001,Gadget B,buyer_t1_008,seller_t1_000,True,96.75,accepted,6,130.17,49.81,33.41999999999999,46.94
1,item_004,Gizmo E,buyer_t1_000,seller_t1_009,True,74.5,accepted,9,99.78,49.36,25.28,25.14
1,item_004,Gizmo E,buyer_t1_005,seller_t1_003,True,106.75,accepted,9,130.07,60.23,23.319999999999993,46.52
1,item_003,Thingamajig D,buyer_t1_003,seller_t1_008,True,91.9,accepted,9,123.78,70.23,31.879999999999995,21.67
1,item_000,Widget A,buyer_t1_004,seller_t1_005,True,80.75,accepted,6,93.15,71.43,12.400000000000006,9.319999999999993
1,item_001,Gadget B,buyer_t1_001,seller_t1_007,False,,rejected,6,143.71,89.96,0.0,0.0
1,item_002,Doohickey C,buyer_t1_007,seller_t1_004,True,145.0,accepted,7,157.68,63.43,12.680000000000007,81.57
2,item_004,Gizmo E,buyer_t2_009,seller_t2_003,True,96.75,accepted,6,160.62,45.38,63.870000000000005,51.37
2,item_003,Thingamajig D,buyer_t2_002,seller_t2_005,True,83.75,accepted,5,115.48,59.38,31.730000000000004,24.369999999999997
2,item_004,Gizmo E,buyer_t2_005,seller_t2_009,True,85.0,accepted,4,103.77,79.2,18.769999999999996,5.799999999999997
2,item_001,Gadget B,buyer_t2_000,seller_t2_000,True,96.75,accepted,9,121.28,53.96,24.53,42.79
2,item_002,Doohickey C,buyer_t2_008,seller_t2_001,True,97.25,accepted,6,120.61,76.53,23.36,20.72
2,item_003,Thingamajig D,buyer_t2_004,seller_t2_002,True,97.65,accepted,10,124.39,73.74,26.739999999999995,23.91000000000001
2,item_002,Doohickey C,buyer_t2_003,seller_t2_007,False,,timeout,10,157.56,65.65,0.0,0.0
2,item_004,Gizmo E,buyer_t2_007,seller_t2_006,True,91.5,accepted,10,119.55,88.77,28.049999999999997,2.730000000000004
2,item_004,Gizmo E,buyer_t2_001,seller_t2_008,True,77.35,accepted,9,120.71,64.85,43.36,12.5
2,item_001,Gadget B,buyer_t2_006,seller_t2_004,True,82.5,accepted,6,98.6,67.94,16.099999999999994,14.560000000000002
3,item_000,Widget A,buyer_t3_005,seller_t3_003,True,87.0,accepted,5,96.45,64.45,9.450000000000003,22.549999999999997
