condition,seed,tick,num_sessions,deals_made,liquidity,mean_price,price_std,buyer_surplus_mean,seller_surplus_mean
random,42,0,5,5,1.0,87.22,24.8,38.75,9.17
random,42,1,5,3,0.6,87.03,21.68,21.34,12.97
random,42,2,5,4,0.8,83.34,8.67,32.53,15.28
surplus_max,42,0,4,4,1.0,85.75,18.95,46.61,17.52
surplus_max,42,1,3,3,1.0,84.65,25.8,35.49,10.58
surplus_max,42,2,4,4,1.0,83.34,8.67,32.53,15.28
