time_step,item_id,item_name,buyer_id,seller_id,deal_made,deal_price,termination_reason,rounds_taken,buyer_value,seller_cost,buyer_surplus,seller_surplus
0,item_000,Widget A,buyer_t0_002,seller_t0_000,False,,timeout,10,147.26,49.54,0.0,0.0
0,item_000,Widget A,buyer_t0_004,seller_t0_001,True,86.5,accepted,10,155.74,74.1,69.24000000000001,12.400000000000006
0,item_002,Doohickey C,buyer_t0_005,seller_t0_004,True,79.5,accepted,10,91.4,58.86,11.900000000000006,20.64
0,item_004,Gizmo E,buyer_t0_006,seller_t0_005,True,83.5,accepted,9,135.33,39.12,51.83000000000001,44.38
0,item_002,Doohickey C,buyer_t0_003,seller_t0_003,False,,timeout,10,94.67,41.14,0.0,0.0
1,item_001,Gadget B,buyer_t1_004,seller_t1_000,True,107.5,accepted,6,153.8,91.12,46.30000000000001,16.379999999999995
1,item_000,Widget A,buyer_t1_001,seller_t1_007,False,,timeout,10,132.23,71.08,0.0,0.0
1,item_001,Gadget B,buyer_t1_003,seller_t1_001,False,,rejected,5,109.95,65.44,0.0,0.0
1,item_000,Widget A,buyer_t1_000,seller_t1_005,True,89.5,accepted,6,150.07,44.24,60.56999999999999,45.26
1,item_001,Gadget B,buyer_t1_007,seller_t1_006,True,107.0,accepted,8,186.14,56.83,79.13999999999999,50.17
1,item_001,Gadget B,buyer_t1_005,seller_t1_003,True,116.0,accepted,6,116.66,101.95,0.6599999999999966,14.049999999999997
2,item_002,Doohickey C,buyer_t2_002,seller_t2_001,True,76.0,accepted,6,99.98,32.58,23.980000000000004,43.42
2,item_002,Doohickey C,buyer_t2_007,seller_t2_005,True,73.5,accepted,6,103.06,63.6,29.560000000000002,9.899999999999999
2,item_004,Gizmo E,buyer_t2_000,seller_t2_007,True,86.5,accepted,6,145.61,61.65,59.110000000000014,24.85
2,item_002,Doohickey C,buyer_t2_001,seller_t2_006,True,79.0,accepted,5,87.02,40.3,8.019999999999996,38.7
2,item_002,Doohickey C,buyer_t2_004,seller_t2_004,True,82.0,accepted,9,82.06,47.87,0.060000000000002274,34.13
2,item_004,Gizmo E,buyer_t2_006,seller_t2_003,True,91.75,accepted,9,102.0,32.64,10.25,59.11
2,item_004,Gizmo E,buyer_t2_003,seller_t2_002,True,83.85,accepted,9,134.46,56.09,50.610000000000014,27.75999999999999
3,item_002,Doohickey C,buyer_t3_001,seller_t3_006,True,73.5,accepted,6,116.72,66.54,43.22,6.959999999999994
3,item_003,Thingamajig D,buyer_t3_003,seller_t3_002,True,101.0,accepted,4,103.69,46.08,2.6899999999999977,54.92
3,item_002,Doohickey C,buyer_t3_002,seller_t3_004,True,71.5,accepted,6,106.02,31.54,34.519999999999996,39.96
3,item_000,Widget A,buyer_t3_006,seller_t3_007,True,99.5,accepted,6,117.51,89.93,18.010000000000005,9.569999999999993
3,item_002,Doohickey C,buyer_t3_000,seller_t3_003,True,61.25,accepted,10,116.96,29.22,55.709999999999994,32.03
3,item_000,Widget A,buyer_t3_005,seller_t3_000,True,114.0,accepted,9,146.2,37.66,32.19999999999999,76.34
4,item_000,Widget A,buyer_t4_007,seller_t4_007,True,129.95,accepted,8,129.95,42.23,0.0,87.72
4,item_002,Doohickey C,buyer_t4_004,seller_t4_004,True,71.75,accepted,6,76.17,64.93,4.420000000000002,6.819999999999993
4,item_000,Widget A,buyer_t4_006,seller_t4_005,True,96.75,accepted,10,158.15,49.26,61.400000000000006,47.49
4,item_004,Gizmo E,buyer_t4_003,seller_t4_006,True,91.5,accepted,9,144.4,41.17,52.900000000000006,50.33
4,item_000,Widget A,buyer_t4_005,seller_t4_003,False,,timeout,10,141.4,50.76,0.0,0.0
