time_step,item_id,item_name,buyer_id,seller_id,deal_made,deal_price,termination_reason,rounds_taken,buyer_value,seller_cost,buyer_surplus,seller_surplus
0,item_001,Gadget B,buyer_t0_000,seller_t0_006,True,96.88,accepted,10,130.04,85.53,33.16,11.349999999999994
0,item_000,Widget A,buyer_t0_003,seller_t0_003,True,111.5,accepted,9,164.72,83.72,53.22,27.78
0,item_001,Gadget B,buyer_t0_007,seller_t0_000,True,85.0,accepted,4,92.09,77.92,7.090000000000003,7.079999999999998
0,item_002,Doohickey C,buyer_t0_002,seller_t0_002,True,87.0,accepted,9,113.37,75.7,26.370000000000005,11.299999999999997
0,item_001,Gadget B,buyer_t0_006,seller_t0_008,True,74.5,accepted,5,95.83,46.24,21.33,28.259999999999998
0,item_004,Gizmo E,buyer_t0_005,seller_t0_004,True,107.55,accepted,10,166.95,76.03,59.39999999999999,31.519999999999996
0,item_002,Doohickey C,buyer_t0_009,seller_t0_007,True,92.5,accepted,6,137.8,87.17,45.30000000000001,5.329999999999998
0,item_004,Gizmo E,buyer_t0_001,seller_t0_005,True,135.0,accepted,4,145.39,65.99,10.389999999999986,69.01
0,item_000,Widget A,buyer_t0_004,seller_t0_001,True,113.9,accepted,10,159.16,71.31,45.25999999999999,42.59
0,item_002,Doohickey C,buyer_t0_008,seller_t0_009,True,85.0,accepted,4,117.57,43.56,32.56999999999999,41.44
1,item_004,Gizmo E,buyer_t1_007,seller_t1_004,True,111.0,accepted,6,157.68,63.43,46.68000000000001,47.57
1,item_004,Gizmo E,buyer_t1_003,seller_t1_002,True,96.9,accepted,7,123.78,69.01,26.879999999999995,27.89
1,item_003,Thingamajig D,buyer_t1_008,seller_t1_007,True,97.0,accepted,5,130.17,89.96,33.16999999999999,7.040000000000006
1,item_000,Widget A,buyer_t1_002,seller_t1_003,True,86.0,accepted,5,140.11,60.23,54.110000000000014,25.770000000000003
1,item_001,Gadget B,buyer_t1_009,seller_t1_008,True,89.95,accepted,10,92.27,70.23,2.319999999999993,19.72
1,item_002,Doohickey C,buyer_t1_000,seller_t1_001,True,67.95,accepted,9,99.78,52.95,31.83,15.0
1,item_003,Thingamajig D,buyer_t1_005,seller_t1_009,True,98.0,accepted,5,130.07,49.36,32.06999999999999,48.64
1,item_002,Doohickey C,buyer_t1_006,seller_t1_000,True,127.4,accepted,9,162.53,49.81,35.129999999999995,77.59
1,item_002,Doohickey C,buyer_t1_004,seller_t1_006,True,85.0,accepted,4,93.15,79.41,8.150000000000006,5.590000000000003
1,item_003,Thingamajig D,buyer_t1_001,seller_t1_005,True,91.49,accepted,6,143.71,71.43,52.22000000000001,20.059999999999988
2,item_002,Doohickey C,buyer_t2_006,seller_t2_007,True,86.5,accepted,6,98.6,65.65,12.099999999999994,20.849999999999994
