condition,seed,avg_buyer_value,avg_seller_cost,mean_price,liquidity,total_welfare,buyer_surplus,seller_surplus,price_dispersion
baseline,42,115.0,85.0,91.06,0.54,47.54,30.08,17.46,20.25
baseline,123,115.0,85.0,90.49,0.63,46.54,30.05,16.49,16.83
baseline,456,115.0,85.0,93.89,0.51,49.34,29.97,19.37,17.17
demand_shock,42,135.0,85.0,94.41,0.64,63.12,44.15,18.97,20.72
demand_shock,123,135.0,85.0,91.64,0.7,63.3,47.11,16.2,20.01
demand_shock,456,135.0,85.0,94.91,0.61,65.08,46.56,18.52,19.48
supply_shock,42,115.0,105.0,107.96,0.24,42.27,23.57,18.7,13.56
supply_shock,123,115.0,105.0,103.57,0.32,36.63,18.07,18.56,11.82
supply_shock,456,115.0,105.0,113.28,0.22,43.4,20.72,22.68,18.68
