time_step,item_id,item_name,buyer_id,seller_id,deal_made,deal_price,termination_reason,rounds_taken,buyer_value,seller_cost,buyer_surplus,seller_surplus
0,item_002,Doohickey C,buyer_t0_005,seller_t0_003,True,112.5,accepted,5,143.36,94.85,30.860000000000014,17.650000000000006
0,item_001,Gadget B,buyer_t0_003,seller_t0_004,False,,rejected,3,113.53,77.62,0.0,0.0
0,item_004,Gizmo E,buyer_t0_001,seller_t0_001,True,95.0,accepted,5,100.0,76.19,5.0,18.810000000000002
0,item_003,Thingamajig D,buyer_t0_004,seller_t0_006,False,,timeout,10,162.45,103.28,0.0,0.0
0,item_004,Gizmo E,buyer_t0_002,seller_t0_000,False,,timeout,10,169.24,70.79,0.0,0.0
0,item_004,Gizmo E,buyer_t0_007,seller_t0_002,False,,rejected,3,94.31,102.9,0.0,0.0
0,item_002,Doohickey C,buyer_t0_006,seller_t0_005,True,111.5,accepted,6,139.15,78.29,27.650000000000006,33.209999999999994
0,item_003,Thingamajig D,buyer_t0_000,seller_t0_007,True,111.74,accepted,6,111.74,109.07,0.0,2.6700000000000017
1,item_000,Widget A,buyer_t1_002,seller_t1_000,False,,timeout,10,100.03,63.26,0.0,0.0
1,item_003,Thingamajig D,buyer_t1_007,seller_t1_001,False,,rejected,7,132.0,82.57,0.0,0.0
1,item_003,Thingamajig D,buyer_t1_004,seller_t1_003,True,155.0,accepted,5,155.96,100.85,0.960000000000008,54.150000000000006
1,item_001,Gadget B,buyer_t1_005,seller_t1_002,False,,rejected,7,123.96,105.64,0.0,0.0
1,item_003,Thingamajig D,buyer_t1_006,seller_t1_004,False,,rejected,4,96.35,107.65,0.0,0.0
1,item_002,Doohickey C,buyer_t1_001,seller_t1_007,True,122.5,accepted,5,141.29,81.43,18.789999999999992,41.06999999999999
1,item_003,Thingamajig D,buyer_t1_000,seller_t1_005,False,,rejected,3,139.05,85.74,0.0,0.0
1,item_002,Doohickey C,buyer_t1_003,seller_t1_006,True,118.0,accepted,4,141.0,100.18,23.0,17.819999999999993
2,item_000,Widget A,buyer_t2_003,seller_t2_006,True,120.0,accepted,6,121.74,89.03,1.7399999999999949,30.97
2,item_003,Thingamajig D,buyer_t2_000,seller_t2_001,True,120.0,accepted,6,155.31,72.53,35.31,47.47
2,item_003,Thingamajig D,buyer_t2_001,seller_t2_002,True,146.96,accepted,6,146.96,99.49,0.0,47.47000000000001
2,item_002,Doohickey C,buyer_t2_006,seller_t2_005,True,125.0,accepted,3,125.09,80.64,0.09000000000000341,44.36
2,item_000,Widget A,buyer_t2_007,seller_t2_004,False,,rejected,7,157.15,91.64,0.0,0.0
2,item_004,Gizmo E,buyer_t2_005,seller_t2_003,True,96.0,accepted,6,108.99,92.56,12.989999999999995,3.4399999999999977
2,item_002,Doohickey C,buyer_t2_002,seller_t2_000,True,120.0,accepted,6,163.48,102.98,43.47999999999999,17.019999999999996
2,item_002,Doohickey C,buyer_t2_004,seller_t2_007,True,132.0,accepted,7,132.05,82.81,0.05000000000001137,49.19
3,item_004,Gizmo E,buyer_t3_001,seller_t3_002,True,145.0,accepted,3,154.24,71.11,9.240000000000009,73.89
3,item_000,Widget A,buyer_t3_006,seller_t3_004,False,,rejected,7,137.93,84.27,0.0,0.0
3,item_002,Doohickey C,buyer_t3_004,seller_t3_003,True,99.5,accepted,6,103.88,94.05,4.3799999999999955,5.450000000000003
3,item_003,Thingamajig D,buyer_t3_007,seller_t3_005,True,125.0,accepted,7,128.34,105.47,3.3400000000000034,19.53
3,item_001,Gadget B,buyer_t3_000,seller_t3_006,False,,rejected,5,136.27,63.09,0.0,0.0
3,item_002,Doohickey C,buyer_t3_002,seller_t3_001,False,,timeout,10,140.9,106.27,0.0,0.0
