time_step,item_id,item_name,buyer_id,seller_id,deal_made,deal_price,termination_reason,rounds_taken,buyer_value,seller_cost,buyer_surplus,seller_surplus
0,item_001,Gadget B,buyer_t0_009,seller_t0_008,True,96.0,accepted,5,121.47,48.56,25.47,47.44
0,item_004,Gizmo E,buyer_t0_002,seller_t0_001,False,,timeout,10,157.92,54.89,0.0,0.0
0,item_000,Widget A,buyer_t0_001,seller_t0_006,True,134.65,accepted,6,134.65,57.4,0.0,77.25
0,item_002,Doohickey C,buyer_t0_005,seller_t0_007,False,,timeout,10,146.08,78.27,0.0,0.0
0,item_001,Gadget B,buyer_t0_000,seller_t0_005,True,67.5,accepted,6,92.57,57.53,25.069999999999993,9.969999999999999
0,item_002,Doohickey C,buyer_t0_004,seller_t0_003,True,118.0,accepted,6,133.87,57.75,15.870000000000005,60.25
0,item_004,Gizmo E,buyer_t0_003,seller_t0_002,True,131.0,accepted,6,165.92,57.18,34.91999999999999,73.82
0,item_004,Gizmo E,buyer_t0_006,seller_t0_004,True,74.0,accepted,6,110.07,49.98,36.06999999999999,24.020000000000003
0,item_000,Widget A,buyer_t0_008,seller_t0_009,True,101.0,accepted,7,135.14,54.45,34.139999999999986,46.55
0,item_004,Gizmo E,buyer_t0_007,seller_t0_000,True,111.0,accepted,6,150.31,87.75,39.31,23.25
1,item_003,Thingamajig D,buyer_t1_007,seller_t1_002,True,82.5,accepted,6,95.17,79.35,12.670000000000002,3.1500000000000057
1,item_000,Widget A,buyer_t1_004,seller_t1_007,True,96.85,accepted,10,129.38,53.71,32.53,43.13999999999999
1,item_001,Gadget B,buyer_t1_006,seller_t1_003,True,78.0,accepted,5,93.83,51.69,15.829999999999998,26.310000000000002
1,item_001,Gadget B,buyer_t1_002,seller_t1_009,True,123.0,accepted,5,148.47,88.74,25.47,34.260000000000005
1,item_004,Gizmo E,buyer_t1_008,seller_t1_001,True,86.5,accepted,6,100.44,70.09,13.939999999999998,16.409999999999997
1,item_002,Doohickey C,buyer_t1_001,seller_t1_004,True,87.0,accepted,5,115.02,86.9,28.019999999999996,0.09999999999999432
1,item_002,Doohickey C,buyer_t1_000,seller_t1_005,True,107.0,accepted,6,143.79,44.04,36.78999999999999,62.96
1,item_000,Widget A,buyer_t1_003,seller_t1_000,True,80.0,accepted,9,101.09,74.0,21.090000000000003,6.0
1,item_001,Gadget B,buyer_t1_005,seller_t1_006,True,85.0,accepted,4,96.74,72.29,11.739999999999995,12.709999999999994
1,item_003,Thingamajig D,buyer_t1_009,seller_t1_008,True,90.0,accepted,7,164.75,62.68,74.75,27.32
2,item_003,Thingamajig D,buyer_t2_004,seller_t2_005,True,132.0,accepted,5,164.28,41.16,32.28,90.84
2,item_001,Gadget B,buyer_t2_001,seller_t2_003,True,93.0,accepted,5,140.15,44.07,47.150000000000006,48.93
2,item_001,Gadget B,buyer_t2_002,seller_t2_008,True,65.5,accepted,7,94.62,49.38,29.120000000000005,16.119999999999997
