condition,session_id,deal_made,rounds_taken
16,348,True,3
16,349,True,3
16,350,True,3
16,351,True,3
16,352,True,3
16,353,True,3
16,354,True,3
16,355,True,3
16,356,True,3
16,357,True,3
16,358,True,3
16,359,True,3
16,360,True,3
16,361,True,3
16,362,True,3
16,363,True,3
16,364,True,3
16,365,True,3
16,366,True,3
16,367,True,3
16,368,True,3
16,369,True,3
16,370,True,3
16,371,True,3
16,372,True,3
16,373,True,3
16,374,True,3
16,375,True,3
16,376,True,3
16,377,True,3
16,378,True,3
16,379,True,3
16,380,True,3
16,381,True,3
16,382,True,3
16,383,True,3
16,384,True,3
16,385,True,3
16,386,True,3
16,387,True,3
16,388,True,3
16,389,True,3
16,390,True,3
16,391,True,3
16,392,True,3
16,393,True,3
16,394,True,3
16,395,True,3
16,396,True,3
16,397,True,3
16,398,True,3
16,399,True,3
16,400,True,3
16,401,True,3
16,402,True,3
16,403,True,3
16,404,True,3
16,405,True,3
16,406,True,3
16,407,True,3
16,408,True,3
16,409,True,3
16,410,True,3
16,411,True,3
16,412,True,3
16,413,True,3
16,414,True,3
16,415,True,3
16,416,True,3
16,417,True,3
16,418,True,3
16,419,True,3
16,420,True,3
16,421,True,3
16,422,True,3
16,423,True,3
16,424,True,3
16,425,True,3
16,426,True,3
16,427,True,3
16,428,True,3
16,429,True,3
16,430,True,3
16,431,True,3
16,432,True,3
16,433,True,3
16,434,True,3
16,435,True,3
16,436,True,3
16,437,True,3
16,438,True,3
16,439,True,3
16,440,True,3
16,441,True,3
16,442,True,3
16,443,True,3
16,444,True,3
16,445,True,3
16,446,True,3
16,447,True,3
16,448,True,3
16,449,True,3
16,450,True,3
